ID,Recency,Recency_Level,Frequency,Frequency_Level,Monetary_Value,Monetary_Value_Level,Observation_Period,Churn
1,46,Low,26,Low,3009.6,Medium,742,0
2,40,Low,56,Medium,57347.28,High,2301,0
3,35,Low,293,High,14496.1575,High,2411,0
4,50,Low,18,Low,1416.2,Medium,813,0
5,77,Medium,14,Low,523.72,Low,1,0
6,55,Medium,39,Low,8830.32,Medium,2077,0
7,48,Low,18,Low,1493.43,Medium,1317,0
8,193,High,36,Low,15584.64,High,1612,1
9,96,Medium,24,Low,1608.18,Medium,1037,0
10,167,High,20,Low,1912.61,Medium,1373,1
11,466,High,22,Low,1669.61,Medium,176,1
12,33,Low,130,High,58294.48,High,2413,0
13,149,High,29,Low,2024.25,Medium,1844,0
14,132,High,13,Low,713.13,Low,374,1
15,435,High,20,Low,721.06,Low,348,1
16,41,Low,71,Medium,20720.04,High,2380,0
17,34,Low,32,Low,4493.7,Medium,1248,0
18,72,Medium,33,Low,15183.28,High,2200,0
19,96,Medium,31,Low,1796.96,Medium,2047,1
20,112,High,41,Low,7434.98,Medium,1962,1
21,33,Low,50,Low,10135.55,High,2404,0
22,32,Low,31,Low,7251,Medium,2426,0
23,67,Medium,39,Low,5635.5,Medium,2032,0
24,230,High,20,Low,288.76,Low,1,1
25,174,High,34,Low,4886.97,Medium,1694,0
26,88,Medium,31,Low,6530.61,Medium,2095,0
27,69,Medium,28,Low,3967.3,Medium,2147,0
28,67,Medium,35,Low,11356.98,High,2122,0
29,60,Medium,48,Low,16920.83,High,2292,0
30,33,Low,17,Low,1456.22,Medium,78,0
31,38,Low,36,Low,6054.99,Medium,2323,0
32,59,Medium,32,Low,7604.56,Medium,1915,0
33,47,Low,47,Low,6888.27,Medium,2319,0
34,66,Medium,25,Low,33024.55,High,1483,0
35,56,Medium,19,Low,432.15,Low,1,0
36,33,Low,116,High,97748.52,High,2398,0
37,45,Low,28,Low,2418.25,Medium,1198,0
38,76,Medium,13,Low,526.7,Low,165,0
39,231,High,28,Low,2893.64,Medium,1434,1
40,156,High,25,Low,1976.55,Medium,1775,0
41,42,Low,70,Medium,70060.06,High,2366,0
42,36,Low,48,Low,17014.06,High,864,0
43,75,Medium,39,Low,10798.27,High,2189,0
44,111,High,16,Low,448.81,Low,1,1
45,98,Medium,36,Low,2442.6,Medium,2053,0
46,38,Low,43,Low,6757.64,Medium,2376,0
47,98,Medium,34,Low,3243.96,Medium,1581,0
48,386,High,88,Medium,44583.09,High,653,1
49,273,High,28,Low,2375.21,Medium,1106,1
50,138,High,25,Low,2772.48,Medium,1866,1
51,239,High,19,Low,920.98,Low,1198,1
52,76,Medium,20,Low,704.18,Low,354,0
53,45,Low,22,Low,2073.72,Medium,1187,0
54,87,Medium,20,Low,2162.16,Medium,1027,0
55,400,High,20,Low,1146.92,Medium,583,1
56,48,Low,54,Medium,10155.06,High,2334,0
57,37,Low,19,Low,381.23,Low,21,0
58,32,Low,33,Low,4985.63,Medium,2405,0
59,72,Medium,15,Low,1642.26,Medium,2063,0
60,236,High,38,Low,4924.73,Medium,1372,1
61,49,Low,44,Low,7323.38,Medium,2343,0
62,68,Medium,42,Low,5074.59,Medium,2189,0
63,52,Medium,45,Low,10578.31,High,2051,0
64,94,Medium,33,Low,2500.21,Medium,2107,0
65,39,Low,60,Medium,25345.01,High,2239,0
66,99,Medium,22,Low,4224.54,Medium,2035,0
67,36,Low,41,Low,6490.89,Medium,2372,0
68,57,Medium,62,Medium,51530.17,High,2239,0
69,37,Low,36,Low,4741.08,Medium,1608,0
70,41,Low,32,Low,4484.57,Medium,2350,0
71,32,Low,43,Low,8801.32,Medium,2193,0
72,30,Low,177,High,52905.66,High,2405,0
73,51,Medium,26,Low,4535.75,Medium,981,0
74,40,Low,77,Medium,50609.01,High,2390,0
75,425,High,21,Low,3461.13,Medium,450,1
76,38,Low,44,Low,4624.75,Medium,1549,0
77,33,Low,86,Medium,27634.09,High,2429,0
78,211,High,38,Low,6715.46,Medium,1428,1
79,55,Medium,55,Medium,20500.64,High,2278,0
80,120,High,23,Low,5354.77,Medium,997,0
81,65,Medium,37,Low,4617.8,Medium,1470,0
82,33,Low,56,Medium,6253.31,Medium,2412,0
83,240,High,20,Low,460.31,Low,1,1
84,33,Low,19,Low,1651.43,Medium,2150,0
85,31,Low,28,Low,4005.08,Medium,2404,0
86,36,Low,13,Low,1059.1,Medium,1,0
87,37,Low,24,Low,3307.96,Medium,405,0
88,50,Low,45,Low,19162,High,1904,0
89,38,Low,32,Low,3102.03,Medium,2348,0
90,70,Medium,42,Low,44331.23,High,2026,0
91,47,Low,32,Low,8639.88,Medium,2272,0
92,47,Low,48,Low,6256.71,Medium,2342,0
93,34,Low,65,Medium,17681.04,High,2415,0
94,35,Low,47,Low,8408.63,Medium,2386,0
95,83,Medium,22,Low,1791.44,Medium,903,1
96,145,High,18,Low,3495.45,Medium,1433,0
97,61,Medium,30,Low,3535.22,Medium,2250,0
98,220,High,18,Low,1274.51,Medium,1469,0
99,367,High,19,Low,746.84,Low,614,1
100,142,High,28,Low,2353.99,Medium,1847,0
101,191,High,16,Low,188,Low,1,1
102,45,Low,22,Low,1570.82,Medium,1006,0
103,296,High,26,Low,1138.51,Medium,989,1
104,97,Medium,27,Low,1638.44,Medium,692,0
105,40,Low,21,Low,1192.27,Medium,95,0
106,84,Medium,28,Low,3496.37,Medium,2088,0
107,98,Medium,19,Low,1912.92,Medium,382,1
108,120,High,22,Low,1349.14,Medium,1880,0
109,35,Low,36,Low,4576.63,Medium,1546,0
110,327,High,17,Low,348.61,Low,1,1
111,37,Low,56,Medium,9104.42,Medium,2359,0
112,139,High,16,Low,1021.64,Medium,1737,1
113,56,Medium,20,Low,1713.53,Medium,1007,1
114,73,Medium,37,Low,20483,High,2195,0
115,173,High,26,Low,1378.23,Medium,1686,0
116,170,High,22,Low,2276.72,Medium,1622,0
117,134,High,21,Low,930.75,Low,229,1
118,34,Low,13,Low,841.56,Low,40,0
119,346,High,23,Low,928.18,Low,705,1
120,38,Low,63,Medium,24952.7,High,2383,0
121,76,Medium,29,Low,5617.34,Medium,1875,1
122,37,Low,39,Low,9901.94,Medium,2323,0
123,35,Low,43,Low,3807.16,Medium,1322,0
124,40,Low,34,Low,7192.31,Medium,629,0
125,37,Low,26,Low,3110.87,Medium,873,0
126,67,Medium,26,Low,3800.1,Medium,2206,0
127,32,Low,46,Low,56982.95,High,1473,0
128,99,Medium,41,Low,12370.04,High,1980,0
129,47,Low,48,Low,14694.8,High,2356,0
130,34,Low,34,Low,2940.6,Medium,1858,0
131,64,Medium,19,Low,1833.35,Medium,731,1
132,79,Medium,33,Low,13140.26,High,2077,0
133,45,Low,29,Low,3287.23,Medium,2358,0
134,148,High,18,Low,1880.27,Medium,1813,0
135,38,Low,30,Low,2351.51,Medium,1104,0
136,48,Low,41,Low,2821.77,Medium,2325,0
137,37,Low,54,Medium,9005.49,Medium,2168,0
138,265,High,22,Low,2413.41,Medium,1034,1
139,79,Medium,33,Low,6101.25,Medium,2105,0
140,94,Medium,36,Low,2368.23,Medium,2113,0
141,100,Medium,15,Low,895.67,Low,869,0
142,119,High,24,Low,3144.48,Medium,1819,0
143,47,Low,16,Low,565.2,Low,1,0
144,263,High,38,Low,10034.6,High,1062,1
145,44,Low,22,Low,937.34,Low,263,0
146,33,Low,49,Low,7839.46,Medium,2342,0
147,38,Low,48,Low,6455.01,Medium,2380,0
148,242,High,24,Low,2172.04,Medium,1192,1
149,48,Low,27,Low,39028.8,High,964,1
150,34,Low,34,Low,6011.63,Medium,2272,0
151,54,Medium,22,Low,2293.08,Medium,1539,0
152,37,Low,42,Low,6419.46,Medium,2376,0
153,390,High,17,Low,1135.63,Medium,100,1
154,52,Medium,48,Low,9083.47,Medium,2282,0
155,121,High,23,Low,4180.83,Medium,1920,0
156,43,Low,30,Low,1345.57,Medium,1442,1
157,153,High,17,Low,1890.63,Medium,849,0
158,90,Medium,22,Low,900.67,Low,1292,1
159,51,Medium,40,Low,5013.5,Medium,2229,0
160,53,Medium,29,Low,2956.3,Medium,2321,0
161,33,Low,32,Low,2687.92,Medium,2298,0
162,54,Medium,26,Low,2533.22,Medium,1214,0
163,33,Low,38,Low,3636.84,Medium,2396,0
164,48,Low,46,Low,6634.62,Medium,2298,0
165,33,Low,64,Medium,23451.53,High,2416,0
166,73,Medium,29,Low,2156.29,Medium,2217,0
167,44,Low,34,Low,16827.1,High,2299,0
168,49,Low,28,Low,2944.4,Medium,2267,0
169,289,High,22,Low,306.51,Low,5,1
170,36,Low,66,Medium,27534.3,High,2374,0
171,139,High,16,Low,1493.68,Medium,1256,1
172,106,High,23,Low,1126.15,Medium,174,0
173,139,High,21,Low,656.8,Low,1,1
174,170,High,24,Low,3445.08,Medium,1704,0
175,72,Medium,24,Low,1704.71,Medium,1667,1
176,38,Low,60,Medium,28350.45,High,2394,0
177,204,High,55,Medium,18279.4,High,1549,1
178,83,Medium,31,Low,9964.5,Medium,1990,1
179,40,Low,39,Low,7591.49,Medium,2329,0
180,45,Low,39,Low,7978.38,Medium,2368,0
181,36,Low,38,Low,9862.23,Medium,2383,0
182,33,Low,55,Medium,6008.56,Medium,2399,0
183,44,Low,37,Low,8355.94,Medium,2103,0
184,38,Low,70,Medium,57551.84,High,2329,0
185,64,Medium,38,Low,13777.56,High,2257,0
186,48,Low,39,Low,6838.25,Medium,2320,0
187,59,Medium,54,Medium,16839.22,High,2274,0
188,65,Medium,16,Low,1053.66,Medium,1069,0
189,47,Low,65,Medium,21645.11,High,2354,0
190,143,High,50,Low,12577.47,High,1873,0
191,145,High,28,Low,3962.59,Medium,1834,1
192,34,Low,22,Low,1019.98,Medium,783,0
193,43,Low,42,Low,12587.52,High,1737,0
194,363,High,15,Low,5041.94,Medium,744,1
195,33,Low,23,Low,1953.82,Medium,1938,0
196,97,Medium,19,Low,1027.3,Medium,1046,0
197,43,Low,20,Low,3338.12,Medium,1205,0
198,110,High,49,Low,13451.97,High,1993,0
199,42,Low,17,Low,433.03,Low,146,0
200,394,High,22,Low,1333.23,Medium,541,1
201,174,High,22,Low,1042.76,Medium,670,0
202,38,Low,51,Medium,9716.28,Medium,2357,0
203,41,Low,32,Low,5371.21,Medium,2301,0
204,36,Low,48,Low,12932.17,High,2401,0
205,249,High,18,Low,1294.4,Medium,1268,1
206,495,High,18,Low,686.46,Low,103,1
207,160,High,42,Low,7194.23,Medium,1506,1
208,35,Low,34,Low,13156.08,High,1899,0
209,42,Low,33,Low,4531.01,Medium,2336,0
210,69,Medium,33,Low,4781.92,Medium,2142,0
211,76,Medium,21,Low,2529.59,Medium,2080,1
212,44,Low,64,Medium,19896.57,High,2335,0
213,38,Low,162,High,26017.733,High,2398,0
214,148,High,30,Low,3621.15,Medium,1592,0
215,150,High,27,Low,1812.73,Medium,1202,1
216,50,Low,31,Low,2248.31,Medium,1931,0
217,55,Medium,28,Low,4729.67,Medium,2243,0
218,55,Medium,21,Low,776.2,Low,229,0
219,48,Low,28,Low,4159.27,Medium,2331,0
